Verwaltungsbezirk_Nr.;Name;Wahlberechtigte_insgesamt;Wähler/-innen;Wahlbeteiligung;Ungültige_Stimmen;Gültige_Stimmen;CDU;SPD;GRÜNE;AfD;DIE_LINKE;FDP;PIRATEN;Tierschutzpartei;NPD;Die_PARTEI;FAMILIE;FREIE_WÄHLER;Volksabstimmung;ÖDP;DKP;MLPD;BP;SGP;TIERSCHUTZ_hier!;Tierschutzallianz;Bündnis_C;BIG;BGE;DIE_DIREKTE!;DiEM25;III._Weg;Die_Grauen;DIE_RECHTE;DIE_VIOLETTEN;LIEBE;DIE_FRAUEN;Graue_Panther;LKR;MENSCHLICHE_WELT;NL;ÖkoLinX;Die_Humanisten;PARTEI_FÜR_DIE_TIERE;Gesundheitsforschung;Volt;
5162;Rhein-Kreis_Neuss;334970;211310;63,08;0,75;99,25;32,18;16,16;21,51;7,95;3,17;8,61;0,68;1,53;0,14;1,94;0,7;0,6;0,12;0,46;0,02;0,02;0,09;0,01;0,29;0,13;0,06;0,32;0,05;0,05;0,24;0,01;0,18;0,04;0,07;0,09;0,13;0,23;0,1;0,06;0,05;0,05;0,17;0,22;0,14;0,68;99,25
5166;Kreis_Viersen;228023;141515;62,06;0,79;99,21;32,5;15,85;23,44;6,98;3,39;7,81;0,64;1,66;0,16;1,87;0,7;0,67;0,13;0,35;0,02;0,02;0,06;0,01;0,25;0,14;0,09;0,16;0,06;0,05;0,2;0,01;0,22;0,04;0,09;0,09;0,11;0,22;0,08;0,08;0,05;0,04;0,13;0,21;0,11;0,52;99,21
5170;Kreis_Wesel;356669;218516;61,27;0,83;99,17;27,04;22,3;20,52;9;4,27;6,52;0,61;1,67;0,15;2,06;0,78;0,58;0,14;0,31;0,02;0,06;0,06;0,01;0,24;0,15;0,08;0,28;0,06;0,06;0,15;0,01;0,23;0,05;0,08;0,07;0,12;0,25;0,08;0,07;0,04;0,05;0,13;0,25;0,15;0,46;99,16
5313;Kreisfreie_Stadt_Aachen;177548;117448;66,15;0,51;99,49;21,93;15,24;31,99;4,95;5,36;6,04;1,13;1,08;0,07;3,97;0,26;0,39;0,07;1,13;0,04;0,04;0,04;0,01;0,15;0,07;0,07;0,3;0,07;0,05;0,74;0;0,1;0,03;0,07;0,04;0,09;0,11;0,1;0,07;0,08;0,1;0,44;0,11;0,07;2,89;99,49
5314;Kreisfreie_Stadt_Bonn;228055;158398;69,46;0,47;99,53;22,92;15,35;31,78;5,95;4,84;7;0,74;1,08;0,06;3,13;0,29;0,48;0,08;0,65;0,04;0,04;0,06;0,01;0,13;0,08;0,11;0,78;0,09;0,04;0,67;0,01;0,1;0,03;0,05;0,05;0,11;0,1;0,19;0,04;0,07;0,13;0,26;0,1;0,07;1,8;99,51
5315;Kreisfreie_Stadt_Köln;740448;478587;64,63;0,53;99,47;19,69;16,88;32,7;6,14;6,09;6,21;0,75;1,3;0,08;3,35;0,36;0,46;0,11;0,47;0,04;0,07;0,05;0,01;0,18;0,11;0,07;0,44;0,09;0,05;0,72;0,01;0,15;0,02;0,07;0,07;0,11;0,19;0,1;0,07;0,06;0,15;0,21;0,14;0,11;1,59;99,47
5316;Kreisfreie_Stadt_Leverkusen;116207;69726;60;0,83;99,17;25,89;19,78;22,51;9,34;4,23;6,62;0,79;1,5;0,15;2,51;0,65;0,6;0,16;0,45;0,02;0,09;0,07;0,01;0,28;0,13;0,05;0,39;0,07;0,08;0,27;0,01;0,22;0,04;0,08;0,1;0,11;0,32;0,1;0,1;0,06;0,05;0,19;0,21;0,19;0,76;99,18
5334;Städteregion_Aachen;227750;131590;57,78;0,88;99,12;30,61;23,73;17,71;8,55;3,56;5,93;0,69;1,56;0,16;1,62;0,64;0,47;0,14;0,71;0,01;0,02;0,06;0,01;0,28;0,12;0,04;0,25;0,06;0,05;0,21;0,01;0,16;0,05;0,06;0,08;0,11;0,18;0,07;0,05;0,04;0,04;0,13;0,25;0,11;0,61;99,14
5358;Kreis_Düren;199697;120531;60,36;1,04;98,96;32,06;19,85;16,95;9,58;3,52;7,03;0,71;1,83;0,2;1,67;0,87;0,62;0,21;0,43;0,03;0,02;0,08;0;0,34;0,16;0,09;0,15;0,07;0,06;0,18;0,02;0,21;0,05;0,09;0,11;0,13;0,29;0,09;0,05;0,04;0,03;0,14;0,26;0,16;0,56;98,94
5362;Rhein-Erft-Kreis;346326;220996;63,81;0,82;99,18;28,51;19,78;20,82;9,2;3,42;7,69;0,73;1,59;0,15;1,95;0,69;0,67;0,16;0,35;0,02;0,02;0,07;0,01;0,24;0,13;0,05;0,3;0,06;0,06;0,24;0,02;0,21;0,06;0,07;0,09;0,11;0,28;0,1;0,07;0,04;0,04;0,16;0,25;0,13;0,66;99,2
